ds,Nuclear_indisponibility
787,2014-02-26,0.0
788,2014-02-27,0.0
789,2014-02-28,0.0
790,2014-03-01,0.0
791,2014-03-02,905.0
792,2014-03-03,905.0
793,2014-03-04,0.0
794,2014-03-05,0.0
795,2014-03-06,0.0
796,2014-03-07,1330.0
797,2014-03-08,0.0
798,2014-03-09,0.0
799,2014-03-10,0.0
800,2014-03-11,0.0
801,2014-03-12,0.0
802,2014-03-13,0.0
803,2014-03-14,0.0
804,2014-03-15,0.0
805,2014-03-16,0.0
806,2014-03-17,0.0
807,2014-03-18,0.0
808,2014-03-19,0.0
809,2014-03-20,0.0
810,2014-03-21,0.0
811,2014-03-22,0.0
812,2014-03-23,0.0
813,2014-03-24,915.0
814,2014-03-25,915.0
815,2014-03-26,915.0
816,2014-03-27,0.0
817,2014-03-28,0.0
818,2014-03-29,0.0
819,2014-03-30,0.0
820,2014-03-31,0.0
821,2014-04-01,0.0
822,2014-04-02,0.0
823,2014-04-03,0.0
824,2014-04-04,0.0
825,2014-04-05,0.0
826,2014-04-06,910.0
827,2014-04-07,0.0
828,2014-04-08,380.0
829,2014-04-09,1260.0
830,2014-04-10,880.0
831,2014-04-11,880.0
832,2014-04-12,0.0
833,2014-04-13,0.0
834,2014-04-14,0.0
835,2014-04-15,0.0
836,2014-04-16,0.0
837,2014-04-17,0.0
838,2014-04-18,910.0
839,2014-04-19,1820.0
840,2014-04-20,910.0
841,2014-04-21,910.0
842,2014-04-22,910.0
843,2014-04-23,3012.0
844,2014-04-24,3150.0
845,2014-04-25,1820.0
846,2014-04-26,1820.0
847,2014-04-27,2735.0
848,2014-04-28,0.0
849,2014-04-29,0.0
850,2014-04-30,0.0
851,2014-05-01,0.0
852,2014-05-02,0.0
853,2014-05-03,710.0
854,2014-05-04,710.0
855,2014-05-05,0.0
856,2014-05-06,0.0
857,2014-05-07,0.0
858,2014-05-08,905.0
859,2014-05-09,1610.0
860,2014-05-10,705.0
861,2014-05-11,110.0
862,2014-05-12,290.0
863,2014-05-13,0.0
864,2014-05-14,0.0
865,2014-05-15,0.0
866,2014-05-16,645.0
867,2014-05-17,645.0
868,2014-05-18,655.0
869,2014-05-19,2120.0
870,2014-05-20,1820.0
871,2014-05-21,910.0
872,2014-05-22,910.0
873,2014-05-23,0.0
874,2014-05-24,419.0
875,2014-05-25,419.0
876,2014-05-26,1159.0
877,2014-05-27,1899.0
878,2014-05-28,419.0
879,2014-05-29,419.0
880,2014-05-30,2235.0
881,2014-05-31,905.0
882,2014-06-01,0.0
883,2014-06-02,0.0
884,2014-06-03,0.0
885,2014-06-04,0.0
886,2014-06-05,0.0
887,2014-06-06,390.0
888,2014-06-07,390.0
889,2014-06-08,390.0
890,2014-06-09,390.0
891,2014-06-10,1720.0
892,2014-06-11,1720.0
893,2014-06-12,390.0
894,2014-06-13,815.0
895,2014-06-14,1300.0
896,2014-06-15,1725.0
897,2014-06-16,390.0
898,2014-06-17,1270.0
899,2014-06-18,2080.0
900,2014-06-19,1270.0
901,2014-06-20,390.0
902,2014-06-21,1330.0
903,2014-06-22,0.0
904,2014-06-23,0.0
905,2014-06-24,0.0
906,2014-06-25,0.0
907,2014-06-26,910.0
908,2014-06-27,910.0
909,2014-06-28,1800.0
910,2014-06-29,2210.0
911,2014-06-30,2210.0
912,2014-07-01,2210.0
913,2014-07-02,910.0
914,2014-07-03,910.0
915,2014-07-04,910.0
916,2014-07-05,910.0
917,2014-07-06,2410.0
918,2014-07-07,3473.0
919,2014-07-08,910.0
920,2014-07-09,910.0
921,2014-07-10,910.0
922,2014-07-11,910.0
923,2014-07-12,2630.0
924,2014-07-13,1300.0
925,2014-07-14,0.0
926,2014-07-15,0.0
927,2014-07-16,1335.0
928,2014-07-17,1335.0
929,2014-07-18,1335.0
930,2014-07-19,1335.0
931,2014-07-20,0.0
932,2014-07-21,0.0
933,2014-07-22,1300.0
934,2014-07-23,1300.0
935,2014-07-24,1300.0
936,2014-07-25,2210.0
937,2014-07-26,910.0
938,2014-07-27,910.0
939,2014-07-28,910.0
940,2014-07-29,910.0
941,2014-07-30,910.0
942,2014-07-31,1460.0
943,2014-08-01,910.0
944,2014-08-02,910.0
945,2014-08-03,910.0
946,2014-08-04,910.0
947,2014-08-05,910.0
948,2014-08-06,910.0
949,2014-08-07,910.0
950,2014-08-08,910.0
951,2014-08-09,910.0
952,2014-08-10,910.0
953,2014-08-11,910.0
954,2014-08-12,910.0
955,2014-08-13,910.0
956,2014-08-14,2240.0
957,2014-08-15,910.0
958,2014-08-16,910.0
959,2014-08-17,910.0
960,2014-08-18,910.0
961,2014-08-19,910.0
962,2014-08-20,910.0
963,2014-08-21,910.0
964,2014-08-22,910.0
965,2014-08-23,910.0
966,2014-08-24,910.0
967,2014-08-25,910.0
968,2014-08-26,910.0
969,2014-08-27,910.0
970,2014-08-28,1820.0
971,2014-08-29,910.0
972,2014-08-30,1825.0
973,2014-08-31,1825.0
974,2014-09-01,1825.0
975,2014-09-02,1825.0
976,2014-09-03,1825.0
977,2014-09-04,1825.0
978,2014-09-05,2570.0
979,2014-09-06,1825.0
980,2014-09-07,1825.0
981,2014-09-08,1825.0
982,2014-09-09,1825.0
983,2014-09-10,1825.0
984,2014-09-11,1825.0
985,2014-09-12,1825.0
986,2014-09-13,1825.0
987,2014-09-14,3155.0
988,2014-09-15,3330.0
989,2014-09-16,1825.0
990,2014-09-17,1825.0
991,2014-09-18,1825.0
992,2014-09-19,1825.0
993,2014-09-20,3155.0
994,2014-09-21,3155.0
995,2014-09-22,1825.0
996,2014-09-23,1825.0
997,2014-09-24,1825.0
998,2014-09-25,1825.0
999,2014-09-26,1825.0
1000,2014-09-27,1825.0
1001,2014-09-28,1825.0
1002,2014-09-29,1825.0
1003,2014-09-30,1825.0
1004,2014-10-01,1825.0
1005,2014-10-02,3155.0
1006,2014-10-03,1825.0
1007,2014-10-04,1825.0
1008,2014-10-05,1825.0
1009,2014-10-06,1825.0
1010,2014-10-07,1825.0
1011,2014-10-08,1825.0
1012,2014-10-09,2955.0
1013,2014-10-10,3155.0
1014,2014-10-11,3155.0
1015,2014-10-12,3125.0
1016,2014-10-13,3125.0
1017,2014-10-14,3125.0
1018,2014-10-15,1825.0
1019,2014-10-16,1825.0
1020,2014-10-17,1825.0
1021,2014-10-18,1825.0
1022,2014-10-19,1825.0
1023,2014-10-20,3135.0
1024,2014-10-21,4465.0
1025,2014-10-22,4050.0
1026,2014-10-23,4050.0
1027,2014-10-24,3245.0
1028,2014-10-25,3245.0
1029,2014-10-26,3135.0
1030,2014-10-27,3135.0
1031,2014-10-28,3135.0
