"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"	"OddWeekday"	"OddHoliday"	"OddTemp"	"OddNeighbor"	"HD_predicted"	"nonWorkingDay"	"ToTag"
2013-07-06 00:00:00	27.51675	15.09795	7	5	0	Day	191	0	0	0	0	0	0	0
2013-07-07 00:00:00	28.5094	16.9942	7	6	0	Day	192	0	0	0	0	0	0	0
2013-07-08 00:00:00	28.39895	17.51005	7	0	1	Day	193	0	0	0	0	0	0	0
2013-07-09 00:00:00	28.1427	17.652900000000006	7	1	1	Day	194	0	0	0	0	0	0	0
2013-07-10 00:00:00	27.41685	17.095650000000006	7	2	1	Day	195	0	0	0	0	0	0	0
2013-07-11 00:00:00	24.5824	15.56135	7	3	1	Day	196	0	0	0	0	0	0	0
2013-07-12 00:00:00	25.9929	14.0651	7	4	1	Day	197	0	0	0	0	0	0	0
2013-07-13 00:00:00	26.42745	15.20955	7	5	0	Day	198	0	0	0	0	0	0	0
2013-07-14 00:00:00	28.1165	15.7773	7	6	0	Holiday	199	0	0	0	0	0	0	0
2013-07-15 00:00:00	28.66175	16.871299999999998	7	0	1	Day	200	0	0	0	0	0	0	0
2013-07-16 00:00:00	28.0539	17.320700000000002	7	1	1	Day	201	0	0	0	0	0	0	0
2013-07-17 00:00:00	28.08495	17.736700000000006	7	2	1	Day	202	0	0	0	0	0	0	0
2013-07-18 00:00:00	27.39225	17.85095	7	3	1	Day	203	0	0	0	0	0	0	0
2013-07-19 00:00:00	28.16235	17.9323	7	4	1	Day	204	0	0	0	0	0	0	0
2013-07-20 00:00:00	29.4472	18.32495	7	5	0	Day	205	0	0	0	0	0	0	0
2013-07-21 00:00:00	31.7367	18.4326	7	6	0	Day	206	0	0	0	0	0	0	0
2013-07-22 00:00:00	31.87635	19.87875	7	0	1	Day	207	0	0	0	0	0	0	0
2013-07-23 00:00:00	27.991	19.40455	7	1	1	Day	208	0	0	0	0	0	0	0
2013-07-24 00:00:00	27.80295	18.25475	7	2	1	Day	209	0	0	0	0	0	0	0
2013-07-25 00:00:00	29.21725	18.92445	7	3	1	Day	210	0	0	0	0	0	0	0
2013-07-26 00:00:00	29.26405	19.6971	7	4	1	Day	211	0	0	0	0	0	0	0
2013-07-27 00:00:00	29.32115	19.24365	7	5	0	Day	212	0	0	0	0	0	0	0
2013-07-28 00:00:00	24.736500000000003	18.37855	7	6	0	Day	213	0	0	0	0	0	0	0
2013-07-29 00:00:00	23.8296	16.7588	7	0	1	Day	214	0	0	0	0	0	0	0
2013-07-30 00:00:00	24.17275	16.5869	7	1	1	Day	215	0	0	0	0	0	0	0
2013-07-31 00:00:00	28.5911	17.458550000000002	7	2	1	Day	216	0	0	0	0	0	0	0
2013-08-01 00:00:00	32.5225	18.3928	8	3	1	Day	217	0	0	0	0	0	0	0
2013-08-02 00:00:00	30.57245	19.8604	8	4	1	Day	218	0	0	0	0	0	0	0
2013-08-03 00:00:00	25.81975	18.37045	8	5	0	Day	219	0	0	0	0	0	0	0
2013-08-04 00:00:00	27.22295	16.91385	8	6	0	Day	220	0	0	0	0	0	0	0
2013-08-05 00:00:00	27.890250000000005	16.702199999999998	8	0	1	Day	221	0	0	0	0	0	0	0
2013-08-06 00:00:00	24.717150000000004	17.124750000000002	8	1	1	Day	222	0	0	0	0	0	0	0
2013-08-07 00:00:00	21.5615	17.023474999999998	8	2	1	Day	223	0	0	0	0	0	0	0
2013-08-08 00:00:00	23.309050000000006	15.5558	8	3	1	Day	224	0	0	0	0	0	0	0
2013-08-09 00:00:00	23.98915	15.49805	8	4	1	Day	225	0	0	0	0	0	0	0
2013-08-10 00:00:00	23.88865	14.777999999999999	8	5	0	Day	226	0	0	0	0	0	0	0
2013-08-11 00:00:00	24.851000000000006	14.480200000000002	8	6	0	Day	227	0	0	0	0	0	0	0
2013-08-12 00:00:00	24.91545	15.2039	8	0	1	Day	228	0	0	0	0	0	0	0
2013-08-13 00:00:00	23.2037	13.95705	8	1	1	Day	229	0	0	0	0	0	0	0
2013-08-14 00:00:00	24.26705	12.91755	8	2	1	Day	230	0	0	0	0	0	0	0
2013-08-15 00:00:00	26.570999999999998	13.3051	8	3	1	Holiday	231	0	0	0	0	0	0	0
2013-08-16 00:00:00	27.24235	14.535100000000002	8	4	1	Day	232	0	0	0	0	0	0	0
2013-08-17 00:00:00	26.69945	16.14085	8	5	0	Day	233	0	0	0	0	0	0	0
2013-08-18 00:00:00	25.805550000000004	17.655450000000005	8	6	0	Day	234	0	0	0	0	0	0	0
2013-08-19 00:00:00	23.3264	16.593525	8	0	1	Day	235	0	0	0	0	0	0	0
2013-08-20 00:00:00	24.9513	12.81895	8	1	1	Day	236	0	0	0	0	0	0	0
2013-08-21 00:00:00	26.788100000000004	12.850999999999999	8	2	1	Day	237	0	0	0	0	0	0	0
2013-08-22 00:00:00	27.976400000000005	14.9761	8	3	1	Day	238	0	0	0	0	0	0	0
2013-08-23 00:00:00	28.313649999999992	15.48165	8	4	1	Day	239	0	0	0	0	0	0	0
2013-08-24 00:00:00	21.342250000000003	16.084375	8	5	0	Day	240	0	0	0	0	0	0	0
2013-08-25 00:00:00	18.8277	14.119849999999998	8	6	0	Day	241	0	0	0	0	0	0	0
2013-08-26 00:00:00	22.50455	14.0396	8	0	1	Day	242	0	0	0	0	0	0	0
2013-08-27 00:00:00	21.9449	15.03625	8	1	1	Day	243	0	0	0	0	0	0	0
2013-08-28 00:00:00	23.461250000000003	14.06	8	2	1	Day	244	0	0	0	0	0	0	0
2013-08-29 00:00:00	23.9049	13.300400000000002	8	3	1	Day	245	0	0	0	0	0	0	0
2013-08-30 00:00:00	24.92895	13.031399999999998	8	4	1	Day	246	0	0	0	0	0	0	0
2013-08-31 00:00:00	23.36675	15.1368	8	5	0	Day	247	0	0	0	0	0	0	0
2013-09-01 00:00:00	22.41855	13.461750000000006	9	6	0	Day	248	0	0	0	0	0	0	0
2013-09-02 00:00:00	24.6673	11.8399	9	0	1	Day	249	0	0	0	0	0	0	0
2013-09-03 00:00:00	27.218300000000006	12.20515	9	1	1	Day	250	0	0	0	0	0	0	0
2013-09-04 00:00:00	30.4445	14.3582	9	2	1	Day	251	0	0	0	0	0	0	0
2013-09-05 00:00:00	30.1059	15.498399999999998	9	3	1	Day	252	0	0	0	0	0	0	0
2013-09-06 00:00:00	23.0284	16.1651	9	4	1	Day	253	0	0	0	0	0	0	0
2013-09-07 00:00:00	20.099350000000005	13.68125	9	5	0	Day	254	0	0	0	0	0	0	0
2013-09-08 00:00:00	19.7296	13.02675	9	6	0	Day	255	0	0	0	0	0	0	0
2013-09-09 00:00:00	18.91675	12.2552	9	0	1	Day	256	0	0	0	0	0	0	0
2013-09-10 00:00:00	18.88245	13.18525	9	1	1	Day	257	0	0	0	0	0	0	0
2013-09-11 00:00:00	17.539999999999996	11.826650000000004	9	2	1	Day	258	0	0	0	0	0	0	0
2013-09-12 00:00:00	18.0705	12.379099999999998	9	3	1	Day	259	0	0	0	0	0	0	0
2013-09-13 00:00:00	20.251900000000006	13.02025	9	4	1	Day	260	0	0	0	0	0	0	0
2013-09-14 00:00:00	18.346750000000004	14.373150000000004	9	5	0	Day	261	0	0	0	0	0	0	0
2013-09-15 00:00:00	17.886900000000004	12.1473	9	6	0	Day	262	0	0	0	0	0	0	0
2013-09-16 00:00:00	16.66515	11.915225	9	0	1	Day	263	0	0	0	0	0	0	0
2013-09-17 00:00:00	16.16355	10.7587	9	1	1	Day	264	0	0	0	0	0	0	0
2013-09-18 00:00:00	18.588550000000005	14.026175	9	2	1	Day	265	0	0	0	0	0	0	0
2013-09-19 00:00:00	17.806300000000004	11.73905	9	3	1	Day	266	0	0	0	0	0	0	0
